t_sec,cart_position_raw,cart_velocity_raw,pendulum_angle_raw,pendulum_velocity_raw,cart_position_norm,cart_velocity_norm,pendulum_angle_norm,pendulum_velocity_norm,cart_force,u_total,u_total_raw,is_saturated_global,delta_u_total,error_pendulum_angle,error_cart_position,delta_error_pendulum_angle,delta_error_cart_position,derivative_error_pendulum_angle,derivative_error_cart_position,integral_error_pendulum_angle,integral_error_cart_position,control_action_pendulum_angle,control_action_cart_position,delta_control_action_pendulum_angle,delta_control_action_cart_position,u_eff_pendulum_angle,u_eff_cart_position,delta_u_eff_pendulum_angle,delta_u_eff_cart_position,kp_pendulum_angle,kp_cart_position,ki_pendulum_angle,ki_cart_position,kd_pendulum_angle,kd_cart_position,global_reward_per_step,assigned_reward_per_step_pendulum_angle,assigned_reward_per_step_cart_position,episode_id
0.0,0.0,0.0,0.15700000000000003,0.0,0.0,0.0,0.14992360580595876,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.001,3.271369477523755e-07,0.0006542739861174588,0.15700044381347755,0.0008876262344810358,6.542738950621185e-08,8.178424826477126e-05,0.14992402961562035,0.0002219065586201996,4.802352941176471,0.12005882352941177,0.12005882352941177,False,0.12005882352941177,0.14992360580595876,0.0,0.14992360580595876,0.0,0.0,0.0,0.00014992360580595875,0.0,0.12005882352941177,0.0,0.12005882352941177,0.0,0.12005882352941177,0.0,0.12005882352941177,0.0,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.002,1.3107366991332299e-06,0.0013129267388794275,0.1570017730995259,0.0017709375586040276,2.6214733983564997e-07,0.00016411584235997978,0.14992529898732432,0.0004427343896509228,4.8243632774380165,0.12060908193595042,0.12060908193595042,False,0.0005502584065386479,0.14992402961562035,-6.542738950621185e-08,4.2380966158717115e-07,-6.542738950621185e-08,0.00042380966158717115,-6.542738950621185e-05,0.0002998476354215791,-6.542738950621185e-11,0.12068767339473815,-7.859145878772909e-05,0.0006288498653263808,-7.859145878772909e-05,0.12068767339473815,-7.859145878772909e-05,0.0006288498653263808,-7.859145878772909e-05,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.003,2.9568796079725156e-06,0.0019793609073189217,0.15700398186500086,0.0026465805099038934,5.913759215658843e-07,0.0002474201134148313,0.14992740819805284,0.0006616451274759072,4.8634769868743755,0.12158692467185939,0.12158692467185939,False,0.0009778427359089653,0.14992529898732432,-2.6214733983564997e-07,1.2693717039713448e-06,-1.9671995032943812e-07,0.0012693717039713448,-0.00019671995032943812,0.0004497729344089034,-3.2757472934186183e-10,0.1218233035821522,-0.00023637891029280373,0.0011356301874140412,-0.00015778745150507465,0.1218233035821522,-0.00023637891029280373,0.0011356301874140412,-0.00015778745150507465,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.004,5.273315204159472e-06,0.0026535126778448005,0.15700706247735496,0.0035146266892895493,1.0546630409002944e-06,0.0003316890847306908,0.149930349959277,0.0008786566723224531,4.902278186193064,0.12255695465482662,0.12255695465482662,False,0.0009700299829672326,0.14992740819805284,-5.913759215658843e-07,2.109210728518107e-06,-3.292285817302343e-07,0.002109210728518107,-0.0003292285817302343,0.0005997003426069563,-9.189506509077461e-10,0.12295273970674957,-0.00039578505192294127,0.0011294361245973716,-0.00015940614163013753,0.12295273970674957,-0.00039578505192294127,0.0011294361245973716,-0.00015940614163013753,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.005,8.267720106997527e-06,0.003335300045340408,0.15701100738460472,0.004375165601116729,1.6535440212628316e-06,0.00041691250566744387,0.14993411705940107,0.0010937914002790983,4.940675419331832,0.1235168854832958,0.1235168854832958,False,0.0009599308284691799,0.149930349959277,-1.0546630409002944e-06,2.9417612241733337e-06,-4.6328711933441014e-07,0.0029417612241733337,-0.00046328711933441014,0.0007496306925662332,-1.9736136918080405e-09,0.1240740979904826,-0.0005572125071868027,0.00112135828373304,-0.00016142745526386145,0.1240740979904826,-0.0005572125071868027,0.00112135828373304,-0.00016142745526386145,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.006,1.1947689346929399e-05,0.004024641834193117,0.15701580912381985,0.00522828586012236,2.389537869351699e-06,0.0005030802292740333,0.14993870237186768,0.001307071465030507,4.978672794489913,0.12446681986224785,0.12446681986224785,False,0.0009499343789520498,0.14993411705940107,-1.6535440212628316e-06,3.7671001240635604e-06,-5.988809803625372e-07,0.0037671001240635604,-0.0005988809803625372,0.0008995648096256344,-3.627157713070872e-09,0.12518746564409766,-0.0007206457818498158,0.001113367653615055,-0.00016343327466301308,0.12518746564409766,-0.0007206457818498158,0.001113367653615055,-0.00016343327466301308,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.007,1.6320737240950606e-05,0.00472145779268867,0.15702146032019604,0.006074075099718323,3.264147448112098e-06,0.0005901822240861332,0.1499440988542744,0.0015185187749295892,5.016274895353561,0.12540687238383905,0.12540687238383905,False,0.0009400525215911976,0.14993870237186768,-2.389537869351699e-06,4.585312466609537e-06,-7.359938480888673e-07,0.004585312466609537,-0.0007359938480888673,0.0010495035119975021,-6.016695582422572e-09,0.1262929396670236,-0.0008860672831845617,0.001105474022925934,-0.00016542150133474587,0.1262929396670236,-0.0008860672831845617,0.001105474022925934,-0.00016542150133474587,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.008,2.139429831262318e-05,0.0054256685836400285,0.15702795368607392,0.006912619981010092,4.278859662587564e-06,0.0006782085729550857,0.1499502995474351,0.0017281549952525843,5.053486258067957,0.12633715645169893,0.12633715645169893,False,0.0009302840678598878,0.1499440988542744,-3.264147448112098e-06,5.3964824067165296e-06,-8.746095787603991e-07,0.00539648240671653,-0.0008746095787603991,0.0011994476108517765,-9.28084303053467e-09,0.12739061606016078,-0.0010534596084618502,0.0010976763931371813,-0.00016739232527728854,0.12739061606016078,-0.0010534596084618502,0.0010976763931371813,-0.00016739232527728854,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
0.009000000000000001,2.717572820054066e-05,0.006137195774081221,0.15703528201997674,0.007744006204212036,5.43514563999814e-06,0.0007671494717600424,0.14995729757446208,0.0019360015510530015,5.090311367940292,0.1272577841985073,0.1272577841985073,False,0.0009206277468083723,0.1499502995474351,-4.278859662587564e-06,6.20069316070726e-06,-1.0147122144754661e-06,0.00620069316070726,-0.0010147122144754661,0.0013493979103992115,-1.3559702693122235e-08,0.1284805897591162,-0.001222805560608896,0.0010899736989554154,-0.00016934595214704589,0.1284805897591162,-0.001222805560608896,0.0010899736989554154,-0.00016934595214704589,0.8,1.2,0.8,1.2,1.2,1.2,-0.0060280732352359446,-0.006028054994943826,-1.824029211791034e-08,2769
