t_sec,cart_position_raw,cart_velocity_raw,pendulum_angle_raw,pendulum_velocity_raw,cart_position_norm,cart_velocity_norm,pendulum_angle_norm,pendulum_velocity_norm,cart_force,u_total,u_total_raw,is_saturated_global,delta_u_total,error_pendulum_angle,error_cart_position,delta_error_pendulum_angle,delta_error_cart_position,derivative_error_pendulum_angle,derivative_error_cart_position,integral_error_pendulum_angle,integral_error_cart_position,control_action_pendulum_angle,control_action_cart_position,delta_control_action_pendulum_angle,delta_control_action_cart_position,u_eff_pendulum_angle,u_eff_cart_position,delta_u_eff_pendulum_angle,delta_u_eff_cart_position,kp_pendulum_angle,kp_cart_position,ki_pendulum_angle,ki_cart_position,kd_pendulum_angle,kd_cart_position,global_reward_per_step,assigned_reward_per_step_pendulum_angle,assigned_reward_per_step_cart_position,episode_id
0.0,0.0,0.0,0.15700000000000003,0.0,0.0,0.0,0.14992360580595876,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.001,5.66086433812528e-07,0.0011321728870844591,0.1570002078020254,0.0004156037093008838,1.1321728665691921e-07,0.00014152161088554216,0.14992380424181184,0.00010390092732515122,7.203529411764706,0.18008823529411766,0.18008823529411766,False,0.18008823529411766,0.14992360580595876,0.0,0.14992360580595876,0.0,0.0,0.0,0.00014992360580595875,0.0,0.18008823529411766,0.0,0.18008823529411766,0.0,0.18008823529411766,0.0,0.18008823529411766,0.0,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.002,2.265242530977336e-06,0.0022661403218806513,0.15700083032754808,0.0008294401833590991,4.530485062659295e-07,0.00028326754023511036,0.1499243987085066,0.00020736004583987722,7.21255109525744,0.180313777381436,0.180313777381436,False,0.00022554208731834224,0.14992380424181184,-1.1321728665691921e-07,1.9843585308265688e-07,-1.1321728665691921e-07,0.00019843585308265688,-0.00011321728665691921,0.0002998474100477706,-1.1321728665691922e-10,0.18042713066469765,-0.0001133532832616515,0.0003388953705799891,-0.0001133532832616515,0.18042713066469765,-0.0001133532832616515,0.0003388953705799891,-0.0001133532832616515,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.003,5.09944152246291e-06,0.003402259053225882,0.15700186563293972,0.0012411600066410363,1.019888304476524e-06,0.00042528238165329135,0.1499253873500188,0.0003102900016602739,7.22336809676748,0.18058420241918702,0.18058420241918702,False,0.00027042503775101534,0.1499243987085066,-4.530485062659295e-07,5.944666947588217e-07,-3.398312196090103e-07,0.0005944666947588217,-0.0003398312196090103,0.0004497718087562772,-5.662657929228487e-10,0.1809245779765225,-0.0003403755573354809,0.0004974473118248557,-0.0002270222740738294,0.1809245779765225,-0.0003403755573354809,0.0004974473118248557,-0.0002270222740738294,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.004,9.07082766781207e-06,0.004540514937409863,0.15700331161057068,0.0016507812068172131,1.8141655335757179e-06,0.0005675643671763098,0.1499267681537153,0.00041269530170429114,7.234117963902347,0.18085294909755867,0.18085294909755867,False,0.0002687466783716508,0.1499253873500188,-1.019888304476524e-06,9.886415122117853e-07,-5.668397982105944e-07,0.0009886415122117853,-0.0005668397982105944,0.000599697196106296,-1.5861540973993727e-09,0.18142101466511956,-0.0005680655675608831,0.0004964366885970573,-0.00022769001022540224,0.18142101466511956,-0.0005680655675608831,0.0004964366885970573,-0.00022769001022540224,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.005,1.418153043910977e-05,0.0056808925424631646,0.15700516617146576,0.0020583230662336582,2.8363060877723e-06,0.0007101115678078695,0.14992853912477644,0.0005145807665583035,7.244794207625685,0.18111985519064214,0.18111985519064214,False,0.0002669060930834688,0.1499267681537153,-1.8141655335757179e-06,1.3808036964935155e-06,-7.94277229099194e-07,0.0013808036964935155,-0.000794277229099194,0.0007496239642600113,-3.4003196309750907e-09,0.1819163134987652,-0.0007964583081230419,0.0004952988336456299,-0.0002283927405621588,0.1819163134987652,-0.0007964583081230419,0.0004952988336456299,-0.0002283927405621588,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.006,2.0433663934831408e-05,0.006823376555137846,0.15700742724587124,0.0024638047319370114,4.086732787067504e-06,0.0008529220693922479,0.14993069828673722,0.0006159511829841868,7.255397407889865,0.18138493519724663,0.18138493519724663,False,0.0002650800066044956,0.14992853912477644,-2.8363060877723e-06,1.7709710611324425e-06,-1.0221405541965822e-06,0.0017709710611324425,-0.0010221405541965822,0.0008995525033847877,-6.2366257187473915e-09,0.18241048680269942,-0.0010255516054527714,0.0004941733039342255,-0.0002290932973297295,0.18241048680269942,-0.0010255516054527714,0.0004941733039342255,-0.0002290932973297295,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.007,2.782932700235016e-05,0.007967951785804088,0.15701009278310796,0.0028672452090757576,5.565865400347647e-06,0.000995993973225584,0.1499332436813483,0.0007168113022688605,7.265928167521774,0.18164820418804437,0.18164820418804437,False,0.0002632689907977326,0.14993069828673722,-4.086732787067504e-06,2.1591619607796986e-06,-1.250426699295204e-06,0.0021591619607796986,-0.001250426699295204,0.001049483201671525,-1.0323358505814895e-08,0.18290354735471426,-0.001255343166669892,0.0004930605520148401,-0.00022979156121712054,0.18290354735471426,-0.001255343166669892,0.0004930605520148401,-0.00022979156121712054,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.008,3.6370603361310396e-05,0.009114603167565825,0.15701316075143001,0.0032686633617737457,7.274120672251527e-06,0.001139325395945745,0.14993617336843967,0.0008171658404434456,7.276387084883254,0.18190967712208136,0.18190967712208136,False,0.00026147293403699923,0.1499332436813483,-5.565865400347647e-06,2.5453946110864933e-06,-1.479132613280143e-06,0.0025453946110864933,-0.001479132613280143,0.001199416445352873,-1.5889223906162543e-08,0.1833955078409106,-0.0014858307188292475,0.0004919604861963467,-0.0002304875521593555,0.1833955078409106,-0.0014858307188292475,0.0004919604861963467,-0.0002304875521593555,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.009000000000000001,4.6059561725576976e-05,0.010263315755294863,0.1570166291378845,0.003668077914432018,9.21191234515284e-06,0.0012829144694117556,0.1499394854257874,0.0009170194786078945,7.28677475379856,0.182169368844964,0.182169368844964,False,0.00025969172288264897,0.14993617336843967,-7.274120672251527e-06,2.929687091368649e-06,-1.7082552719038802e-06,0.002929687091368649,-0.0017082552719038802,0.0013493526187213127,-2.316334457841407e-08,0.1838863808576881,-0.001717012012724076,0.0004908730167774988,-0.00023118129389482862,0.1838863808576881,-0.001717012012724076,0.0004908730167774988,-0.00023118129389482862,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
0.010000000000000002,5.6898255923975706e-05,0.011414074724713974,0.1570204959481769,0.0040655074530254135,1.1379651184695305e-05,0.0014267593405892232,0.14994317794898482,0.0010163768632562853,7.297091763842791,0.18242729409606978,0.18242729409606978,False,0.00025792525110576725,0.1499394854257874,-9.21191234515284e-06,3.312057347715225e-06,-1.9377916729013123e-06,0.003312057347715225,-0.0019377916729013123,0.0014992921041471002,-3.237525692356691e-08,0.18437617891409358,-0.001948884818023804,0.0004897980564054771,-0.00023187280529972788,0.18437617891409358,-0.001948884818023804,0.0004897980564054771,-0.00023187280529972788,1.2,1.2,1.2,1.2,0.8,1.0,-0.0058477000669027316,-0.005847673212974181,-2.6853928549849804e-08,2268
