t_sec,cart_position_raw,cart_velocity_raw,pendulum_angle_raw,pendulum_velocity_raw,cart_position_norm,cart_velocity_norm,pendulum_angle_norm,pendulum_velocity_norm,cart_force,u_total,u_total_raw,is_saturated_global,delta_u_total,error_pendulum_angle,error_cart_position,delta_error_pendulum_angle,delta_error_cart_position,derivative_error_pendulum_angle,derivative_error_cart_position,integral_error_pendulum_angle,integral_error_cart_position,control_action_pendulum_angle,control_action_cart_position,delta_control_action_pendulum_angle,delta_control_action_cart_position,u_eff_pendulum_angle,u_eff_cart_position,delta_u_eff_pendulum_angle,delta_u_eff_cart_position,kp_pendulum_angle,kp_cart_position,ki_pendulum_angle,ki_cart_position,kd_pendulum_angle,kd_cart_position,global_reward_per_step,assigned_reward_per_step_pendulum_angle,assigned_reward_per_step_cart_position,episode_id
0.0,0.0,0.0,0.15700000000000003,0.0,0.0,0.0,0.14992360580595876,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.001,5.65847723032088e-07,0.0011316954655965256,0.1570002080378008,0.00041607526029417306,1.1316954462436968e-07,0.00014146193319963807,0.1499238044669602,0.00010401881507360322,7.20113063407181,0.18002826585179527,0.18002826585179527,False,0.18002826585179527,0.14992360580595876,0.0,0.14992360580595876,0.0,0.0,0.0,0.00014992360580595875,0.0,0.18002826585179527,0.0,0.18002826585179527,0.0,0.18002826585179527,0.0,0.18002826585179527,0.0,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.002,2.264049884090292e-06,0.002264709872239058,0.15700083150553557,0.0008308530501277536,4.5280997684749025e-07,0.00028308873402993484,0.14992439983339922,0.0002077132625319944,7.2077626642332335,0.18019406660583084,0.18019406660583084,False,0.0001658007540355777,0.1499238044669602,-1.1316954462436968e-07,1.9866100142706955e-07,-1.1316954462436968e-07,0.00019866100142706955,-0.00011316954462436968,0.00029984741027291894,-1.1316954462436968e-10,0.1803073720897122,-0.00011330548388137247,0.00027910623791693734,-0.00011330548388137247,0.1803073720897122,-0.00011330548388137247,0.00027910623791693734,-0.00011330548388137247,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.003,5.096105921613431e-06,0.003399403594665226,0.1570018689275452,0.0012439803792997364,1.0192211843396137e-06,0.0004249254493331467,0.14992539049612796,0.0003109950948250173,7.216208236640947,0.1804052059160237,0.1804052059160237,False,0.0002111393101928427,0.14992439983339922,-4.5280997684749025e-07,5.953664390379032e-07,-3.3964043222312057e-07,0.0005953664390379032,-0.00033964043222312057,0.00044977181010631814,-5.659795214718599e-10,0.18074539039939444,-0.00034018448337076333,0.00043801830968223654,-0.00022687899948939085,0.18074539039939444,-0.00034018448337076333,0.00043801830968223654,-0.00022687899948939085,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.004,9.063689917003065e-06,0.004535766096660321,0.15700331866062278,0.0016554717276176904,1.8127379832755253e-06,0.0005669707620825637,0.14992677488600337,0.0004138679319043437,7.224604814546909,0.18061512036367275,0.18061512036367275,False,0.0002099144476490622,0.14992539049612796,-1.0192211843396137e-06,9.906627287392666e-07,-5.664112074921235e-07,0.0009906627287392666,-0.0005664112074921235,0.0005996972006024461,-1.5852007058114737e-09,0.18118275653882693,-0.000567636175154178,0.0004373661394324879,-0.00022745169178341467,0.18118275653882693,-0.000567636175154178,0.0004373661394324879,-0.00022745169178341467,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.005,1.416846476097018e-05,0.005673785529887499,0.15700517907667333,0.002065342855675438,2.8336929520644816e-06,0.0007092231912360081,0.14992855144831307,0.0005163357139188474,7.232945791274994,0.18082364478187485,0.18082364478187485,False,0.00020852441820209955,0.14992677488600337,-1.8127379832755253e-06,1.3843898754029027e-06,-7.935167989359115e-07,0.0013843898754029027,-0.0007935167989359115,0.0007496239754884494,-3.397938689086999e-09,0.18161934094391713,-0.0007956961620422691,0.00043658440509020124,-0.00022805998688809107,0.18161934094391713,-0.0007956961620422691,0.00043658440509020124,-0.00022805998688809107,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.006,2.0412081542141963e-05,0.006813450140486085,0.15700744856331506,0.0024736094172579186,4.082416308559544e-06,0.0008516812675607444,0.14993071864334895,0.00061840235431454,7.2412316291600725,0.18103079072900183,0.18103079072900183,False,0.00020714594712697987,0.14992855144831307,-2.8336929520644816e-06,1.7765623097076855e-06,-1.0209549687889563e-06,0.0017765623097076855,-0.0010209549687889563,0.0008995525269367625,-6.23163164115148e-09,0.18205515360729124,-0.001024362878289403,0.0004358126633741133,-0.00022866671624713396,0.18205515360729124,-0.001024362878289403,0.0004358126633741133,-0.00022866671624713396,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.007,2.7796179645347066e-05,0.007954748274201999,0.15701012552376303,0.002880286952489584,5.559235928931372e-06,0.0009943435342751883,0.14993327494629782,0.0007200717381223853,7.2494628145703555,0.1812365703642589,0.1812365703642589,False,0.00020577963525705845,0.14993071864334895,-4.082416308559544e-06,2.1671950358737035e-06,-1.2487233564950628e-06,0.0021671950358737035,-0.0012487233564950628,0.0010494832455801115,-1.0314047949711025e-08,0.18249020499718177,-0.0012536346329228738,0.0004350513898905284,-0.0002292717546334708,0.18249020499718177,-0.0012536346329228738,0.0004350513898905284,-0.0002292717546334708,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.008,3.632238685041917e-05,0.009097668375642675,0.15701320837671728,0.003285390888851416,7.264477370094724e-06,0.001137208546955426,0.1499362188471327,0.0008213477222127619,7.257639830386055,0.1814409957596514,0.1814409957596514,False,0.0002044253953925046,0.14993327494629782,-5.559235928931372e-06,2.5563029488751e-06,-1.4768196203718276e-06,0.0025563029488751,-0.0014768196203718276,0.0011994165205264093,-1.5873283878642397e-08,0.18292450551107858,-0.0014835097514271996,0.00043430051389681257,-0.00022987511850432575,0.18292450551107858,-0.0014835097514271996,0.00043430051389681257,-0.00022987511850432575,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
0.009000000000000001,4.599231943158698e-05,0.010242198987646034,0.15701669555624553,0.0036889365413553432,9.198463886139763e-06,0.0012802748734557223,0.14993954885050176,0.000922234135338762,7.265763155865779,0.18164407889664447,0.18164407889664447,False,0.00020308313699307634,0.1499362188471327,-7.264477370094724e-06,2.943900834884161e-06,-1.705241441163352e-06,0.002943900834884161,-0.001705241441163352,0.001349352739373542,-2.313776124873712e-08,0.18335806547596542,-0.0017139865793209643,0.0004335599648868371,-0.00023047682789376469,0.18335806547596542,-0.0017139865793209643,0.0004335599648868371,-0.00023047682789376469,1.2,1.2,0.8,1.2,0.8,1.0,-0.006049419422548557,-0.006049340104610419,-7.931793814019983e-08,1412
